epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09385,0.93889,3.70751,1.21649,0.01647,0.89107,0.06559,0.05325,0.30089,3.37461,0.89952,4e-05,4e-05,4e-05
2,4.63043,0.87017,3.60681,1.13091,0.02171,1,0.17893,0.14862,0.30615,3.34968,0.86993,8.98218e-05,8.98218e-05,8.98218e-05
3,6.13418,0.91927,3.19524,1.10723,0.01965,1,0.37118,0.32105,0.41349,3.31121,0.92784,0.000139446,0.000139446,0.000139446
4,7.60002,0.93901,2.62516,1.13032,0.02028,1,0.38282,0.33229,0.46236,3.25654,0.95188,0.000188871,0.000188871,0.000188871
5,9.12145,0.83361,2.3274,1.07223,0.0192,1,0.34198,0.25947,0.48936,3.11249,1.01541,0.000238099,0.000238099,0.000238099
6,10.4901,0.81992,2.12048,1.08576,0.92866,0.15,0.33497,0.25613,0.46355,2.94946,1.00868,0.000287129,0.000287129,0.000287129
7,11.8984,0.88261,1.92776,1.13348,0.94331,0.1,0.34611,0.27082,0.54114,2.80049,1.07429,0.000335961,0.000335961,0.000335961
8,13.2866,0.82402,1.53157,1.06711,0.79342,0.15,0.26386,0.21115,0.60611,2.71674,1.11773,0.000384595,0.000384595,0.000384595
9,14.6766,0.85109,1.5264,1.11091,0.76734,0.16214,0.26843,0.22493,0.63843,2.56616,1.15498,0.00043303,0.00043303,0.00043303
10,16.0528,0.85742,1.26946,1.12364,0.77728,0.22631,0.27163,0.22324,0.61007,2.47069,1.09063,0.000481268,0.000481268,0.000481268
11,17.4718,0.90661,1.21546,1.12643,0.73702,0.19967,0.25022,0.21169,0.6376,2.29387,1.07933,0.000529308,0.000529308,0.000529308
12,18.8815,0.83906,1.25095,1.07012,0.47417,0.28393,0.25733,0.21393,0.69651,2.11249,1.14529,0.00057715,0.00057715,0.00057715
13,20.2519,0.83507,1.13685,1.07864,0.48038,0.34281,0.27771,0.22738,0.71396,2.00953,1.18203,0.000624794,0.000624794,0.000624794
14,21.6564,0.81593,1.06212,1.05883,0.76706,0.36964,0.53687,0.4285,0.71318,1.64472,1.23512,0.000672239,0.000672239,0.000672239
15,23.041,0.83795,1.01205,1.09427,0.74433,0.53929,0.6265,0.50993,0.70979,1.32106,1.2773,0.000719487,0.000719487,0.000719487
16,24.4149,0.84381,0.96961,1.05644,0.97263,0.3375,0.56307,0.45012,0.71002,1.3699,1.28903,0.000766537,0.000766537,0.000766537
17,25.8074,0.82835,0.99256,1.0564,0.75129,0.3375,0.62986,0.47123,0.77958,1.90423,1.37434,0.000813389,0.000813389,0.000813389
18,27.1708,0.80561,0.96834,1.06231,0.74549,0.3375,0.63261,0.46851,0.78637,2.06703,1.39985,0.000860043,0.000860043,0.000860043
19,28.5293,0.82748,1.03953,1.04947,0.70322,0.66647,0.75058,0.55793,0.81681,2.14456,1.45596,0.000906498,0.000906498,0.000906498
20,29.9197,0.80863,0.9537,1.04062,0.77912,0.80135,0.90116,0.68867,0.80346,2.10012,1.35967,0.000952756,0.000952756,0.000952756
